epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.11,1.43778,1.57132,1.24301,0.23862,0.07242,0.10787,0.03717,2.3841,3.29925,1.56027,0.000474881,0.000474881,0.000474881
2,2269.95,1.33447,1.16018,1.21079,0.22062,0.18186,0.13675,0.03854,2.56678,2.66955,1.81799,0.000904129,0.000904129,0.000904129
3,3253.42,1.3003,1.05489,1.20086,0.09884,0.1147,0.05826,0.01585,2.89701,3.19739,1.81796,0.00128622,0.00128622,0.00128622
4,4259.41,1.26507,0.99677,1.18604,0.14831,0.18435,0.10904,0.03238,2.59106,2.43566,1.77131,0.00121679,0.00121679,0.00121679
5,5262.22,1.2264,0.94696,1.16811,0.15918,0.14875,0.10938,0.0354,2.66662,2.76643,1.66703,0.00114606,0.00114606,0.00114606
6,6237.24,1.18763,0.89505,1.15168,0.05115,0.49345,0.06296,0.01979,2.6251,3.79463,1.83459,0.00107532,0.00107532,0.00107532
7,7237.6,1.16214,0.8655,1.14146,0.21459,0.23945,0.13285,0.0413,2.56998,2.52657,1.71855,0.00100459,0.00100459,0.00100459
8,8224.98,1.13853,0.83599,1.12815,0.21376,0.19576,0.12656,0.03699,2.69574,2.37847,1.7445,0.000933851,0.000933851,0.000933851
9,9211,1.12026,0.81197,1.11491,0.18934,0.20515,0.11687,0.03315,2.73401,2.76464,1.7355,0.000863116,0.000863116,0.000863116
10,10203.2,1.09117,0.78364,1.10101,0.2859,0.20916,0.17126,0.05105,2.54299,2.13372,1.67821,0.00079238,0.00079238,0.00079238
11,11165.6,1.03214,0.71616,1.08529,0.19379,0.18685,0.12523,0.03688,2.55695,2.78476,1.77815,0.000721645,0.000721645,0.000721645
12,12123.9,1.0058,0.68313,1.07212,0.21329,0.17573,0.13743,0.04337,2.63357,2.69568,1.70274,0.000650909,0.000650909,0.000650909
13,13083.2,0.97911,0.66109,1.05938,0.16183,0.14337,0.12819,0.04142,2.68444,2.5011,1.77671,0.000580174,0.000580174,0.000580174
14,14033.3,0.95582,0.63982,1.04821,0.24534,0.11622,0.14375,0.04745,2.70172,3.1768,1.78724,0.000509438,0.000509438,0.000509438
15,14994,0.93967,0.62123,1.03878,0.13695,0.16878,0.0935,0.02969,2.84425,3.37603,1.84021,0.000438703,0.000438703,0.000438703
16,15957.1,0.91792,0.61057,1.02753,0.23731,0.103,0.12243,0.04069,2.67271,3.23695,1.75037,0.000367967,0.000367967,0.000367967
17,16896.6,0.90077,0.59104,1.01969,0.10438,0.30594,0.12331,0.03926,2.70356,3.18106,1.79338,0.000297232,0.000297232,0.000297232
18,17861.3,0.87869,0.57381,1.01453,0.26152,0.17541,0.13391,0.04247,2.71076,3.17445,1.82116,0.000226497,0.000226497,0.000226497
19,18829.9,0.8661,0.5564,1.00625,0.25372,0.09976,0.11831,0.03772,2.73674,3.24154,1.82489,0.000155761,0.000155761,0.000155761
20,19777.8,0.84991,0.54515,0.99755,0.24218,0.13576,0.1201,0.03804,2.74463,3.23134,1.84089,8.50255e-05,8.50255e-05,8.50255e-05
